FID_;DESA;KECAMATAN;KABUPATEN;PROPINSI;LUAS;MI_PRINX
;Jeron;Nogosari;Boyolali;Jawa Tengah;0.809800000000000;19.382.000.000.000.000.000
;Ketitang;Nogosari;Boyolali;Jawa Tengah;6.167.400.000.000.000;19.383.000.000.000.000.000
;Rembun;Nogosari;Boyolali;Jawa Tengah;3.694.000.000.000.000;19.384.000.000.000.000.000
;Jeruk;Selo;Boyolali;Jawa Tengah;5.756.900.000.000.000;19.229.000.000.000.000.000
;G. Merbabu;Selo;Boyolali;Jawa Tengah;8.692.300.000.000.000;19.230.000.000.000.000.000
;G. Merapi;Selo;Boyolali;Jawa Tengah;6.325.600.000.000.000;19.231.000.000.000.000.000
;Ngagrong;Ampel;Boyolali;Jawa Tengah;7.392.000.000.000.000;19.232.000.000.000.000.000
;Seboto;Ampel;Boyolali;Jawa Tengah;1.663.200.000.000.000;19.233.000.000.000.000.000
;Tanduk;Ampel;Boyolali;Jawa Tengah;4.610.500.000.000.000;19.234.000.000.000.000.000
;Tanduk;Ampel;Boyolali;Jawa Tengah;2.288.800.000.000.000;19.235.000.000.000.000.000
;Banyuanyar;Ampel;Boyolali;Jawa Tengah;3.021.900.000.000.000;19.236.000.000.000.000.000
;Sidomulyo;Ampel;Boyolali;Jawa Tengah;3.724.500.000.000.000;19.237.000.000.000.000.000
;Guli;Nogosari;Boyolali;Jawa Tengah;3.480.300.000.000.000;19.385.000.000.000.000.000
;Tegalgiri;Nogosari;Boyolali;Jawa Tengah;3.797.100.000.000.000;19.386.000.000.000.000.000
;Bendo;Nogosari;Boyolali;Jawa Tengah;2.302.000.000.000.000;19.387.000.000.000.000.000
;Keyongan;Nogosari;Boyolali;Jawa Tengah;4.633.500.000.000.000;19.388.000.000.000.000.000
;Pojok;Nogosari;Boyolali;Jawa Tengah;1.284.700.000.000.000;19.389.000.000.000.000.000
;Glonggong;Nogosari;Boyolali;Jawa Tengah;4.779.500.000.000.000;19.390.000.000.000.000.000
;Pulutan;Nogosari;Boyolali;Jawa Tengah;7.099.800.000.000.000;19.391.000.000.000.000.000
;Palem;Simo;Boyolali;Jawa Tengah;2.759.000.000.000.000;19.392.000.000.000.000.000
;Bendungan;Simo;Boyolali;Jawa Tengah;2.903.700.000.000.000;19.393.000.000.000.000.000
;Temon;Simo;Boyolali;Jawa Tengah;5.427.900.000.000.000;19.394.000.000.000.000.000
;Teter;Simo;Boyolali;Jawa Tengah;3.685.600.000.000.000;19.395.000.000.000.000.000
;Ngargosari;Ampel;Boyolali;Jawa Tengah;3.943.400.000.000.000;19.238.000.000.000.000.000
;Selodoko;Ampel;Boyolali;Jawa Tengah;2.569.700.000.000.000;19.239.000.000.000.000.000
;Ngenden;Ampel;Boyolali;Jawa Tengah;2.331.200.000.000.000;19.240.000.000.000.000.000
;Ngampon;Ampel;Boyolali;Jawa Tengah;2.575.300.000.000.000;19.241.000.000.000.000.000
;Gondang Slamet;Ampel;Boyolali;Jawa Tengah;1.592.500.000.000.000;19.242.000.000.000.000.000
;Candi;Ampel;Boyolali;Jawa Tengah;4.820.600.000.000.000;19.243.000.000.000.000.000
;Urut Sewu;Ampel;Boyolali;Jawa Tengah;2.916.900.000.000.000;19.244.000.000.000.000.000
